,Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
2273,1620716400000,2021-05-11 07:00:00,BTCUSD,55765.95,55925.86,55495.79,55812.87,15.7843442565
2272,1620720000000,2021-05-11 08:00:00,BTCUSD,55812.87,55900.71,55248.0,55377.63,18.4904321119
2271,1620723600000,2021-05-11 09:00:00,BTCUSD,55377.63,56040.9,55377.63,55959.15,9.204420505
2270,1620727200000,2021-05-11 10:00:00,BTCUSD,55959.15,56234.74,55810.78,55901.76,18.1825156063
2269,1620730800000,2021-05-11 11:00:00,BTCUSD,55901.76,56023.39,55225.32,55282.86,21.7887248541
2268,1620734400000,2021-05-11 12:00:00,BTCUSD,55282.86,55450.31,54820.0,55439.09,170.7401982687
2267,1620738000000,2021-05-11 13:00:00,BTCUSD,55439.09,55807.2,54942.4,55802.8,89.9308036574
2266,1620741600000,2021-05-11 14:00:00,BTCUSD,55802.8,55933.43,55550.62,55747.48,69.277370068
2265,1620745200000,2021-05-11 15:00:00,BTCUSD,55747.48,56225.75,55630.7,56125.13,70.6364488127
2264,1620748800000,2021-05-11 16:00:00,BTCUSD,56125.13,56561.71,55807.43,56056.98,107.1481858342
2263,1620752400000,2021-05-11 17:00:00,BTCUSD,56056.98,56573.9,56014.22,56457.13,44.7614776892
2262,1620756000000,2021-05-11 18:00:00,BTCUSD,56457.13,56763.16,56338.31,56443.66,46.8969002432
2261,1620759600000,2021-05-11 19:00:00,BTCUSD,56443.66,56952.06,56428.41,56735.49,76.6086188388
2260,1620763200000,2021-05-11 20:00:00,BTCUSD,56735.49,56936.54,56585.05,56896.66,83.2782465114
2259,1620766800000,2021-05-11 21:00:00,BTCUSD,56896.66,56949.35,56425.36,56618.44,80.9842707875
2258,1620770400000,2021-05-11 22:00:00,BTCUSD,56618.44,56724.55,56428.35,56510.55,28.8169204985
2257,1620774000000,2021-05-11 23:00:00,BTCUSD,56510.55,56853.05,56330.06,56775.24,43.9558898695
2256,1620777600000,2021-05-12 00:00:00,BTCUSD,56775.24,57400.0,56656.5,57399.82,54.1064212864
2255,1620781200000,2021-05-12 01:00:00,BTCUSD,57399.82,57419.99,57024.88,57115.95,56.3802238271
2254,1620784800000,2021-05-12 02:00:00,BTCUSD,57115.95,57386.19,57002.55,57231.35,96.1719901386
2253,1620788400000,2021-05-12 03:00:00,BTCUSD,57231.35,57898.0,57072.1,57820.0,138.869459808
2252,1620792000000,2021-05-12 04:00:00,BTCUSD,57820.0,57998.26,57371.53,57395.31,78.3691857111
2251,1620795600000,2021-05-12 05:00:00,BTCUSD,57395.31,57564.91,57246.78,57304.63,65.5287524098
2250,1620799200000,2021-05-12 06:00:00,BTCUSD,57304.63,57408.96,57004.93,57072.91,38.9447379122
2249,1620802800000,2021-05-12 07:00:00,BTCUSD,57072.91,57292.82,56970.65,57182.81,17.3600898965
2248,1620806400000,2021-05-12 08:00:00,BTCUSD,57182.81,57228.84,56709.91,56980.39,18.4978463587
2247,1620810000000,2021-05-12 09:00:00,BTCUSD,56980.39,57258.4,56824.39,56939.25,14.9838112537
2246,1620813600000,2021-05-12 10:00:00,BTCUSD,56939.25,56941.04,56066.82,56092.82,35.5275943103
2245,1620817200000,2021-05-12 11:00:00,BTCUSD,56092.82,56556.29,56092.82,56517.9,29.7201165646
2244,1620820800000,2021-05-12 12:00:00,BTCUSD,56517.9,56700.77,56275.95,56421.7,82.567044562
2243,1620824400000,2021-05-12 13:00:00,BTCUSD,56421.7,56952.8,55868.15,56826.07,102.0641656281
2242,1620828000000,2021-05-12 14:00:00,BTCUSD,56826.07,56980.7,56100.0,56120.04,59.5007737315
2241,1620831600000,2021-05-12 15:00:00,BTCUSD,56120.04,56207.17,55322.49,55503.86,128.5692954734
2240,1620835200000,2021-05-12 16:00:00,BTCUSD,55503.86,55691.34,54090.99,55008.25,274.5575501361
2239,1620838800000,2021-05-12 17:00:00,BTCUSD,55008.25,55406.22,54699.99,54905.12,130.6760129978
2238,1620842400000,2021-05-12 18:00:00,BTCUSD,54905.12,55160.0,53643.7,54121.45,358.308347701
